iter	Passed	Remaining
0	3	3254
1	6	3003
2	8	2894
3	11	2836
4	14	2824
5	17	2960
6	20	2910
7	23	2872
8	25	2849
9	28	2828
10	31	2806
11	33	2786
12	36	2773
13	39	2761
14	41	2755
15	44	2748
16	47	2757
17	50	2761
18	53	2749
19	55	2741
20	58	2732
21	61	2722
22	64	2719
23	66	2715
24	69	2707
25	72	2701
26	74	2697
27	77	2689
28	80	2684
29	82	2676
30	85	2674
31	88	2670
32	90	2664
33	93	2659
34	96	2655
35	98	2649
36	101	2647
37	105	2663
38	107	2658
39	110	2653
40	113	2649
41	116	2646
42	118	2642
43	121	2639
44	124	2636
45	126	2633
46	129	2630
47	132	2628
48	135	2627
49	138	2624
50	140	2621
51	143	2619
52	146	2617
53	149	2612
54	151	2607
55	154	2604
56	157	2601
57	159	2597
58	162	2594
59	165	2591
60	168	2590
61	171	2587
62	173	2585
63	176	2580
64	179	2575
65	181	2572
66	184	2568
67	187	2563
68	189	2560
69	192	2558
70	195	2556
71	198	2555
72	201	2552
73	203	2549
74	207	2557
75	210	2556
76	213	2553
77	216	2555
78	218	2552
79	221	2547
80	224	2544
81	226	2540
82	229	2537
83	232	2534
84	235	2530
85	237	2527
86	240	2524
87	243	2525
88	246	2522
89	249	2519
90	252	2517
91	254	2514
92	257	2512
93	260	2509
94	263	2505
95	265	2504
96	268	2500
97	271	2497
98	274	2496
99	276	2492
100	279	2489
101	282	2487
102	285	2486
103	288	2484
104	291	2481
105	293	2479
106	296	2476
107	299	2473
108	302	2469
109	304	2466
110	307	2464
111	310	2461
112	313	2460
113	316	2457
114	318	2453
115	321	2452
116	324	2451
117	330	2473
118	337	2494
119	339	2492
120	342	2488
121	345	2488
122	348	2485
123	351	2483
124	354	2481
125	357	2477
126	359	2474
127	362	2471
128	365	2467
129	368	2464
130	371	2461
131	373	2457
132	376	2455
133	379	2451
134	381	2447
135	384	2445
136	387	2441
137	390	2438
138	393	2436
139	396	2432
140	399	2433
141	402	2433
142	405	2430
143	408	2426
144	410	2422
145	413	2420
146	416	2416
147	419	2413
148	422	2410
149	424	2407
150	427	2403
151	430	2401
152	433	2398
153	436	2396
154	438	2392
155	441	2388
156	444	2385
157	447	2382
158	449	2379
159	452	2375
160	455	2373
161	458	2369
162	460	2366
163	463	2363
164	466	2360
165	469	2356
166	471	2353
167	474	2349
168	477	2346
169	479	2343
170	482	2340
171	485	2337
172	488	2334
173	490	2330
174	493	2327
175	496	2324
176	499	2321
177	501	2317
178	504	2314
179	507	2311
180	510	2308
181	512	2304
182	515	2301
183	518	2298
184	521	2295
185	523	2291
186	526	2288
187	529	2285
188	531	2282
189	534	2279
190	537	2276
191	540	2272
192	542	2269
193	545	2266
